participant_id,form_name,form_size,progress_bar,completion_time_ms,scanpath_length,saccade_velocity,fixation_count,avg_fixation_duration_ms,progress_fixations,progress_fixation_time_ms,attention_ratio,revisits
44,large_without,large,without,144864,187309.97958527016,1.4324310634018356,120,105.575,146,15546.0,0.10731444665341286,80
47,large_without,large,without,29246,19772.222675976678,0.7755276651007801,7,186.0,21,4002.0,0.136839225877043,12
49,large_without,large,without,21543,16365.945264796575,0.8239423005855377,4,243.0,26,6820.0,0.31657615002553036,9
7,large_without,large,without,57812,45551.91036262928,0.8662652459097813,13,203.23076923076923,63,15409.0,0.26653635923337715,28
74,large_without,large,without,113673,127089.51876255318,1.3522740044312662,76,129.52631578947367,170,22121.0,0.19460206029576066,67
79,large_with,large,with,60080,86572.23879175741,1.4806953931057314,45,105.13333333333334,83,8300.0,0.1381491344873502,55
52,large_without,large,without,166982,168199.49000748407,1.225836099114289,18,223.66666666666666,112,22001.0,0.13175671629277408,79
48,large_with,large,with,42749,51207.673506345236,1.3327712632416397,28,124.89285714285714,40,4229.0,0.09892629067346605,20
45,large_with,large,with,164402,165556.0531465524,1.0642768952476465,213,125.25352112676056,281,29670.0,0.1804722570285033,125
57,large_without,large,without,125678,125136.24107351761,1.1066380767294535,18,202.88888888888889,90,18608.0,0.14806091758302964,52
48,large_with,large,with,103146,160288.51730824087,1.5982006711704988,52,102.4423076923077,96,9606.0,0.09313012622884068,64
68,large_without,large,without,90676,90082.94363528804,1.1089371725378976,17,207.58823529411765,67,17098.0,0.1885614716132163,34
6,large_with,large,with,59818,110773.18004469907,2.0429372671145627,25,122.0,90,9382.0,0.15684242201344076,52
5,large_with,large,with,22771,26754.327779782798,1.325693423349848,18,120.11111111111111,37,4348.0,0.19094462254622108,20
60,large_with,large,with,82607,109549.77923496542,1.4555382400634609,61,114.78688524590164,146,15149.0,0.1833863958260196,69
64,large_without,large,without,91531,88263.93346335704,1.1020089214632198,15,207.06666666666666,35,7290.0,0.07964514754564027,22
73,large_with,large,with,31721,30015.842666112727,1.0491903343595856,35,146.17142857142858,46,4754.0,0.1498691718419974,22
53,large_without,large,without,135052,132737.4243351504,1.1061564232703256,30,186.7,68,13804.0,0.10221248111838403,41
65,large_without,large,without,140277,109982.01044736625,0.8839765332339279,32,220.625,65,14203.0,0.10124967029520164,39
58,large_without,large,without,124237,80873.98557542023,0.7273676146147113,44,235.95454545454547,54,10219.0,0.0822540788975909,27
62,large_without,large,without,97416,69057.74588021629,0.7639500596895004,29,199.0344827586207,47,10775.0,0.11060811365689414,22
75,large_with,large,with,70539,85851.1892346472,1.2649250352064532,50,102.52,113,11606.0,0.16453309516721246,61
43,large_with,large,with,116609,166771.16974418674,1.4833185497313681,110,114.49090909090908,124,13030.0,0.11174094623914106,57
61,large_without,large,without,104677,102416.8057753344,1.1103391757090155,12,217.75,58,13316.0,0.12721037095063864,45
56,large_without,large,without,74565,49885.30940844138,0.7778286763023528,32,292.3125,63,13294.0,0.17828740025481124,26
51,large_with,large,with,45773,70970.68662595047,1.6254662923394771,22,117.4090909090909,101,10324.0,0.22554781202892535,55
66,large_without,large,without,163736,126809.7057911694,0.8877611170225762,40,189.675,174,36847.0,0.22503908731128158,86
4,large_without,large,without,104521,93825.36482547937,1.0334568114832177,22,231.5909090909091,65,14025.0,0.1341835611982281,40
71,large_without,large,without,90263,75986.72451137903,1.0095961342069946,31,195.67741935483872,29,5949.0,0.065907403919657,18
55,large_with,large,with,52256,75608.50838174968,1.5617356650644485,29,108.3103448275862,67,6426.0,0.1229715248009798,43
76,large_with,large,with,32942,53541.22792681785,1.7382676964808657,20,99.85,87,8769.0,0.2661951308360148,44
67,large_without,large,without,82253,47413.62305373486,0.6619547286153848,44,255.75,84,18533.0,0.2253170097139314,29
